0,Q^2=9.7 GeV^2,,,E_beam = 8.4 GeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Number,Date,Start Time,End Time,Target,"Beam Current
 (uA)","SBS Current 
(A)","BigBite Current
(A)","BBCal
Threshold (mV)","HCal
Threshold (mV)",Gas Target Pressure (PSIA),Target Polarization [%] (most recent NMR),IHWP state (IN/OUT),Plots Ok and in log book?,Good run ?,"Number of Events
(M)",Trigger Rate [Hz],Charge (C),Charge Corrected for Polarization (C),Accumulated Charge Corrected (C),Accumulated Charge Uncorrected (C),Prescales,Purpose,Notes/Comments,Uncorrected Accumulated Charge (C) on Fringe (for target experts),,,,,,,,,,,,,,,,,,,,,
4256,2/19/2023,6:22,7:47,pol He3 cell,45,2100,750,-50,-26,,49.9,IN,yes,yes,0.941,280,0.197,0.242,42.957,36.549,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4257,2/19/2023,7:51,8:53,pol He3 cell,45,2100,750,-50,-26,,50.5,IN,yes,yes,0.769,270,0.157,0.198,43.155,36.706,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4258,2/19/2023,8:57,9:45,pol He3 cell,45,2100,750,-50,-26,,50.5,IN,yes,yes,0.471,270,0.098,0.124,43.279,36.805,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4259,2/19/2023,,,pol He3 cell,45,2100,750,-50,-26,,50.5,IN,yes,yes,,270,,,,,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4260,2/19/2023,10:51,11:46,pol He3 cell,5/10/30,2100,750,-50,-26,,50.5,IN,,probably not,0.073,270,0.021,0.027,43.306,36.826,"ps1=2, ps3=0, ps5=6, all others -1",production,no beam most of the time,,,,,,,,,,,,,,,,,,,,,,
4261,2/19/2023,12:15,12:59,pol He3 cell,30-45,2100,750,-50,-26,,49.3,IN,yes,yes,0.335,270,0.080,0.096,43.402,36.906,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4262,2/19/2023,13:01,13:30,pol He3 cell,45,2100,750,-50,-26,,49.3,IN,yes,yes,0.300,270,0.100,0.120,43.522,37.006,"ps1=2, ps3=0, ps5=6, all others -1",production,Ended in CODA crash. ,,,,,,,,,,,,,,,,,,,,,,
4263,2/19/2023,13:43,14:51,pol He3 cell,45,2100,750,-50,-26,,49.3,IN,yes,yes,0.545,270,0.125,0.150,43.672,37.131,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4264,2/19/2023,14:52,15:17,pol He3 cell,45,2100,750,-50,-26,,49.3,IN,yes,yes,0.253,270,0.056,0.067,43.739,37.187,"ps1=2, ps3=0, ps5=6, all others -1",production,Stopped to do NMR measurement,,,,,,,,,,,,,,,,,,,,,,
4265,2/19/2023,15:28,17:54,pol He3 cell,45-35,2100,750,-50,-26,,49.4,IN,yes,yes,0.777,200,0.192,0.232,43.970,37.379,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4266,2/19/2023,17:58,18:53,pol He3 cell,35,2100,750,-50,-26,,49.4,IN,yes,yes,0.191,200,0.048,0.058,44.028,37.427,"ps1=2, ps3=0, ps5=6, all others -1",production,lost beam (RF cavity trip_),,,,,,,,,,,,,,,,,,,,,,
4267,,,,,,,,,,,,,,,,,,,,,,,junk - no target position no beam,,,,,,,,,,,,,,,,,,,,,,
4268,,,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,
4269,,,,,,,,,,,,,,,,,,,,,,,jumk,,,,,,,,,,,,,,,,,,,,,,
4272,2/20/2023,5:49,6:25,Carbon Hole,10,2100,750,-350,-26,,,IN,yes,yes,0.075,50,,,,,"ps1=0, ps3 =0",carbon hole,Couldn't lower threshold to 200. ,,,,,,,,,,,,,,,,,,,,,,
4273,2/20/2023,6:33,6:59,pol He3 cell,10-45,2100,750,-350,-26,,51.4,IN,yes ,yes,0.175,250,0.042,0.055,44.084,37.469,"ps1=2, ps3=0, ps5=6, others = -1",production ,Issues with orbit locks near the end. ,,,,,,,,,,,,,,,,,,,,,,
4274,2/20/2023,7:55,9:03,pol He3 cell,10-45,2100,750,-350,-26,,51.4,IN ,yes,yes,0.622,250,0.138,0.180,44.264,37.607,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4275,2/20/2023,9:11,10:47,pol He3 cell,45,2100,750,-350,-26,,51.4,IN ,yes,yes,0.550,250,0.118,0.154,44.418,37.725,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4276,2/20/2023,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4277,2/20/2023,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4278,2/20/2023,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4279,2/20/2023,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4280,2/20/2023,19:32,,,,,,,,,,,,,,,,,,,"ps1=0, other -1",junk,BBCal thresholds at -200 mV,,,,,,,,,,,,,,,,,,,,,,
4281,2/20/2023,19:38,,,,,,,,,,,,,,,,,,,,cosmic,"no beam, target on Carbon hole. beam off while starting to check beam with Chole ",,,,,,,,,,,,,,,,,,,,,,
4282,2/21/2023,2:00,2:02,Carbon Hole,10,2100,750,-200,-26,,51.4,IN ,,,,,,,,,"ps1=0, else=-1",carbon hole,DAQ failure on GRINCHROC7. Restart to recover.,,,,,,,,,,,,,,,,,,,,,,
4283,2/21/2023,2:02,2:04,Carbon Hole,10,2100,750,-200,-26,,51.4,IN ,yes,yes,0.107,,,,,,"ps1=0, else=-2",carbon hole,Carbon hole verified.,,,,,,,,,,,,,,,,,,,,,,
4284,2/21/2023,3:03,3:35,pol He3 cell,45,2100,750,-350,-26,,51.3,IN ,yes,yes,0.447,275,0.089,0.116,44.533,37.814,"ps1=2, ps3=0, ps5=6, others = -1",production,"GEM G1, G2, G3 trip at end of run.",,,,,,,,,,,,,,,,,,,,,,
4285,2/21/2023,3:57,4:57,pol He3 cell,45,2100,750,-350,-26,,51.3,IN ,yes,yes,0.729,275,0.146,0.190,44.723,37.960,"ps1=2, ps3=0, ps5=6, others = -1",production,"GEM G1, G2, G3 alarms, reduced current to 43 uA until thresholds changed, then back to 45 uA",,,,,,,,,,,,,,,,,,,,,,
4286,2/21/2023,4:58,5:57,pol He3 cell,45,2100,750,-350,-26,,51.3,IN ,yes,yes,0.729,275,0.159,0.207,44.930,38.119,"ps1=2, ps3=0, ps5=6, others = -1",production,"DAQ failure on sbsvme29ROC1, client is unresponsive. Script to obtain charge not working on this run, but data appears to exist with expected size. Charge not calculated from scalars - should be done with more precision when able.",,,,,,,,,,,,,,,,,,,,,,
4287,2/21/2023,6:01,6:44,pol He3 cell,45,2100,750,-350,-26,,51,IN ,yes,yes,0.614,275,0.116,0.149,45.079,38.235,"ps1=2, ps3=0, ps5=6, others = -1",production,DAQ end state failure. Charge not calculated from scalars - should be done with more precision when able.,,,,,,,,,,,,,,,,,,,,,,
4288,2/21/2023,6:46,7:16,pol He3 cell,45,2100,750,-350,-26,,51,IN ,yes,yes,0.275,275,0.054,0.069,45.148,38.289,"ps1=2, ps3=0, ps5=6, others = -1",production,"Odd plots for electron physics, may be related to beam trips during 50k.",,,,,,,,,,,,,,,,,,,,,,
4289,2/21/2023,7:32,8:30,pol He3 cell,45,2100,750,-350,-26,,51,IN ,yes,yes,0.520,275,0.106,0.136,45.284,38.395,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4290,2/21/2023,8:34,9:31,pol He3 cell,45,2100,750,-350,-26,,51,IN ,yes,yes,0.550,275,0.111,0.143,45.427,38.506,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4291,2/21/2023,9:34,10:10,pol He3 cell,45,2100,750,-350,-26,,51,IN ,yes,yes,,275,,,45.427,38.506,"ps1=2, ps3=0, ps5=6, others = -1",production,junk - no beam,,,,,,,,,,,,,,,,,,,,,,
4292,2/21/2023,10:16,11:06,pol He3 cell,45,2100,750,-350,-26,,51,IN ,yes,yes,0.213,275,0.047,0.060,45.487,38.553,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4293,2/21/2023,13:37,14:11,pol He3 cell,45,2100,750,-350,-26,,51,IN ,yes,yes,0.072,275,0.020,0.026,45.513,38.573,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4294,2/21/2023,15:54,16:27,pol He3 cell,45,2100,750,-350,-26,,54.3,IN ,yes,yes,0.036,275,0.012,0.017,45.530,38.585,"ps1=2, ps3=0, ps5=6, others = -1",production,Beam went out like 5 minutes in,,,,,,,,,,,,,,,,,,,,,,
4295,2/21/2023,23:00,23:06,Carbon Hole,45,2100,750,-200,-26,,54.3,IN ,yes,yes,,275,,,45.530,38.585,"ps1=0, others = -1",Carbon Hole,,,,,,,,,,,,,,,,,,,,,,,
4296,2/21/2023,23:32,,pol He3 cell,45,2100,750,-350,-26,,52.8,IN ,yes,yes,,275,,,45.530,38.585,"ps1=2, ps3=0, ps5=6, others = -1",production,Beam went out becasue of RF about 5 mins in,,,,,,,,,,,,,,,,,,,,,,
4297,2/22/2023,2:15,3:15,pol He3 cell,45,2100,750,-350,-26,,52.8,IN ,yes,yes,0.678,200,0.146,0.201,45.731,38.731,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4298,2/22/2023,3:17,4:01,pol He3 cell,45,2100,750,-350,-26,,52.8,IN ,yes,yes,0.331,200,0.074,0.102,45.833,38.805,"ps1=2, ps3=0, ps5=6, others = -1",production,NMR after this run,,,,,,,,,,,,,,,,,,,,,,
4299,2/22/2023,4:13,5:20,pol He3 cell,45,2100,750,-350,-26,,49.8,IN ,yes,yes,0.226,200,0.057,0.070,45.903,38.862,"ps1=2, ps3=0, ps5=6, others = -1",production,Oven temperature drop during run (log 4136428),,,,,,,,,,,,,,,,,,,,,,
4300,2/22/2023,5:22,6:08,pol He3 cell,45,2100,750,-350,-26,,49.8,IN ,yes,yes,0.274,200,0.065,0.080,45.983,38.927,"ps1=2, ps3=0, ps5=6, others = -1",production,Ended early due to NL issue. See log 4136460,,,,,,,,,,,,,,,,,,,,,,
4301,2/22/2023,13:08,13:14,carbon hole,45,2100,750,-350,-26,,49.8,IN ,,,0.304,200,,,45.983,38.927,"ps1=2, ps3=0, ps5=6, others = -1",Carbon Hole,,,,,,,,,,,,,,,,,,,,,,,
4302,2/22/2023,14:03,17:30,pol He3 cell,45,2100,750,-350,-26,,49.8,IN ,,,0.048,200,0.006,0.007,45.989,38.933,"ps1=2, ps3=0, ps5=6, others = -1",production,Beam went away a few minutes after starting the run,,,,,,,,,,,,,,,,,,,,,,
4303,2/22/2023,18:36,19:46,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,yes,yes,0.518,190,0.122,0.148,46.137,39.055,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4304,2/22/2023,19:48,20:59,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,yes,yes,0.485,190,0.110,0.133,46.270,39.165,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4305,2/22/2023,21:01,22:01,pol He3 cell,20-40,2100,750,-350,-26,,49.5,IN ,yes,yes,0.309,190,0.071,0.086,46.356,39.236,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4306,2/22/2023,22:10,22:37,pol He3 cell,20,2100,750,-350,-26,,49.5,IN ,,,,,,,46.356,39.236,"ps1=2, ps3=0, ps5=6, others = -1",junk,No beam,,,,,,,,,,,,,,,,,,,,,,
4307,2/22/2023,22:47,23:47,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,yes,yes,0.592,190,0.120,0.145,46.501,39.356,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4308,2/22/2023,23:49,1:03,pol He3 cell,35,2100,750,-350,-26,,49.1,IN ,yes,yes,0.443,190,0.099,0.118,46.619,39.455,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4309,2/23/2023,1:17,1:25,pol He3 cell,35,2100,750,-350,-26,,49.1,IN ,yes,yes,0.052,190,0.014,0.017,46.636,39.469,"ps1=2, ps3=0, ps5=6, others = -1",production,DAQ error on bbgemROC19. Reset to recover.,,,,,,,,,,,,,,,,,,,,,,
4310,2/23/2023,1:27,2:25,pol He3 cell,35,2100,750,-350,-26,,49.1,IN ,yes,yes,0.197,190,0.045,0.054,46.689,39.514,"ps1=2, ps3=0, ps5=6, others = -1",production,NMR after this run,,,,,,,,,,,,,,,,,,,,,,
4311,2/23/2023,2:39,3:18,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,yes,yes,0.333,190,0.078,0.094,46.784,39.592,"ps1=2, ps3=0, ps5=6, others = -1",production,Bigbite magnet trip and interlock. Following runs 4312-4314 junk diagnosing problem,,,,,,,,,,,,,,,,,,,,,,
4312,2/23/2023,,,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,,,,190,,,46.784,39.592,"ps1=2, ps3=0, ps5=6, others = -1",production,junk,,,,,,,,,,,,,,,,,,,,,,
4313,2/23/2023,,,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,,,,190,,,46.784,39.592,"ps1=2, ps3=0, ps5=6, others = -1",production,junk,,,,,,,,,,,,,,,,,,,,,,
4314,2/23/2023,,,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,,,,190,,,46.784,39.592,"ps1=2, ps3=0, ps5=6, others = -1",production,junk,,,,,,,,,,,,,,,,,,,,,,
4315,2/23/2023,5:13,6:17,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,yes,yes,0.479,190,0.103,0.125,46.908,39.695,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4316,2/23/2023,6:18,6:38,pol He3 cell,35,2100,750,-350,-26,,49.5,IN ,yes,yes,0.202,190,0.044,0.053,46.962,39.739,"ps1=2, ps3=0, ps5=6, others = -1",production,Ended early due to second BB magnet trip and interlock.,,,,,,,,,,,,,,,,,,,,,,
4317,2/23/2023,14:09,14:39,Carbon Hole,5,2100,750,-200,-26,,49.8,IN ,JUNK,no,,350,,,46.962,39.739,"ps1=0, ps3=0, ps5=6, others = -1",Carbon Hole,Beam dropped out after 45k events,,,,,,,,,,,,,,,,,,,,,,
4318,2/23/2023,17:32,17:45,Carbon Hole,5,2100,750,-200,-26,,49.8,IN ,JUNK,no,,350,,,46.962,39.739,"ps1=0, ps3=0, ps5=6, others = -1",Carbon Hole,,,,,,,,,,,,,,,,,,,,,,,
4319,2/23/2023,17:58,18:04,pol He3 cell,10,2100,750,-350,-26,,49.5,IN ,,,,40,,,46.962,39.739,"ps1=2, ps3=0, ps5=6, others = -1",production,junk,,,,,,,,,,,,,,,,,,,,,,
4320,2/23/2023,18:16,19:17,pol He3 cell,10->30->45,2100,750,-350,-26,,46.6,IN ,yes,yes,0.404,190,0.104,0.112,47.074,39.843,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4321,2/23/2023,19:18,20:00,pol He3 cell,40,2100,750,-350,-26,,46.6,IN ,yes,yes,0.198,190,0.050,0.054,47.127,39.893,"ps1=2, ps3=0, ps5=6, others = -1",production,Ended in DAQ crash; files ARE in data directory,,,,,,,,,,,,,,,,,,,,,,
4322,2/23/2023,20:02,21:02,pol He3 cell,40,2100,750,-350,-26,,46.6,IN ,yes,yes,0.384,190,0.100,0.107,47.235,39.993,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4323,2/23/2023,21:05,22:00,pol He3 cell,40,2100,750,-350,-26,,46.6,IN ,yes,yes,0.424,190,0.105,0.113,47.348,40.099,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4324,2/23/2023,22:07,22:46,pol He3 cell,40,2100,750,-350,-26,,46.8,IN ,yes,yes,0.345,190,0.084,0.091,47.439,40.183,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4325,2/23/2023,22:52,23:20,pol He3 cell,40,2100,750,-350,-26,,46.8,IN ,yes,yes,0.168,190,0.045,0.048,47.487,40.228,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4326,2/23/2023,,,,,,,,,,,,,,,,,,,,,,Trying to fix the DAQ issues,,,,,,,,,,,,,,,,,,,,,,
4327,2/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4328,2/23/2023,23:47,0:54,pol He3 cell,40,2100,750,-350,-26,,46.8,IN ,yes,yes,0.600,190,0.143,0.155,47.642,40.371,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4329,2/24/2023,1:08,2:17,pol He3 cell,40,2100,750,-350,-26,,46.8,IN ,yes ,yes,0.626,190,0.150,0.162,47.804,40.521,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4330,2/24/2023,2:19,3:24,pol He3 cell,40,2100,750,-350,-26,,46.8,IN ,yes,yes,0.477,190,0.119,0.129,47.933,40.640,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4331,2/24/2023,3:27,4:23,pol He3 cell,40,2100,750,-350,-26,,46.8,IN ,yes,yes,0.118,190,0.031,0.034,47.966,40.671,"ps1=2, ps3=0, ps5=6, others = -1",production,"Last 23 minutes of run, no beam. NMR after run.",,,,,,,,,,,,,,,,,,,,,,
4332,2/24/2023,4:29,5:28,pol He3 cell,40,2100,750,-350,-26,,48.5,IN ,yes,yes,0.184,190,0.051,0.059,48.025,40.722,"ps1=2, ps3=0, ps5=6, others = -1",production,Very trippy beam,,,,,,,,,,,,,,,,,,,,,,
4333,2/24/2023,5:29,6:40,pol He3 cell,40,2100,750,-350,-26,,48.5,IN ,yes,yes,0.489,190,0.122,0.142,48.167,40.844,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4334,2/24/2023,6:43,7:48,pol He3 cell,40,2100,750,-350,-26,,48.5,IN ,yes,yes,0.226,190,0.055,0.064,48.231,40.899,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4335,2/24/2023,7:49,8:36,pol He3 cell,40,2100,750,-350,-26,,48.5,IN ,yes,yes,0.034,190,0.145,0.168,48.399,41.044,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4337,2/25/2023,8:36,8:54,Carbon Hole,10,2100,750,-200,-26,,46.4,IN ,yes,yes,2.341,3000,,0.000,48.399,41.044,"ps1=0, ps3=0, ps5=6, others = -1",Carbon Hole,sigma_x:0.373 sigma:y=0.225,,,,,,,,,,,,,,,,,,,,,,
4338,2/25/2023,9:03,9:07,pol He3 cell,10,2100,750,-200,-26,,46.4,IN ,no,no,,,0.001,0.002,48.401,41.045,"ps1=0, ps3=0, ps5=6, others = -1",junk,Forgot to change BBCal threshold voltage and prescale factors,,,,,,,,,,,,,,,,,,,,,,
4339,2/25/2023,9:33,9:58,pol He3 cell,45,2100,750,-350,-26,,46.4,IN ,yes,yes,0.203,250,0.052,0.055,48.456,41.097,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4341,2/25/2023,10:05,10:57,pol He3 cell,45,2100,750,-350,-26,,46.4,IN ,yes,yes,0.524,240,0.122,0.130,48.586,41.219,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4342,2/25/2023,11:08,,pol He3 cell,45,2100,750,-350,-26,,48.3,IN ,no,no,,,,0.000,48.586,41.219,"ps1=2, ps3=0, ps5=6, others = -1",junk,DAQ crash,,,,,,,,,,,,,,,,,,,,,,
4343,2/25/2023,11:28,12:30,pol He3 cell,45,2100,750,-350,-26,,48.3,IN ,yes,yes,0.618,240,0.139,0.160,48.746,41.359,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4344,2/25/2023,12:34,13:38,pol He3 cell,45,2100,750,-350,-26,,48.3,IN ,yes,yes,0.779,250,0.173,0.199,48.945,41.531,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4345,2/25/2023,13:40,14:42,pol He3 cell,45,2100,750,-350,-26,,48.3,IN ,yes,yes,0.652,250,0.147,0.169,49.114,41.678,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4346,2/25/2023,14:45,15:15,pol He3 cell,45,2100,750,-350,-26,,48.3,IN ,yes,yes,0.430,250,0.094,0.108,49.222,41.772,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4347,2/25/2023,15:25,16:21,pol He3 cell,45,2100,750,-350,-26,,45.8,IN ,yes,yes,0.466,250,0.121,0.125,49.348,41.893,"ps1=2, ps3=0, ps5=6, others = -1",production,run crashed at the end,,,,,,,,,,,,,,,,,,,,,,
4348,2/25/2023,16:28,16:29,pol He3 cell,,2100,750,-350,-26,,,IN ,no,no,,,,0.000,49.348,41.893,"ps1=2, ps3=0, ps5=6, others = -1",production,DAQ crash,,,,,,,,,,,,,,,,,,,,,,
4349,2/25/2023,16:34,16:35,pol He3 cell,,2100,750,-350,-26,,,IN ,,,,,,0.000,49.348,41.893,"ps1=2, ps3=0, ps5=6, others = -1",DAQ troubleshooting,,,,,,,,,,,,,,,,,,,,,,,
4350,2/25/2023,,,pol He3 cell,,2100,750,-350,-26,,,IN ,,,,,,0.000,49.348,41.893,"ps1=2, ps3=0, ps5=6, others = -1",DAQ troubleshooting,,,,,,,,,,,,,,,,,,,,,,,
4351,2/25/2023,16:51,16:51,pol He3 cell,,2100,750,-350,-26,,,IN ,,,,,,0.000,49.348,41.893,"ps1=2, ps3=0, ps5=6, others = -1",DAQ troubleshooting,,,,,,,,,,,,,,,,,,,,,,,
4352,2/25/2023,17:05,17:05,pol He3 cell,,2100,750,-350,-26,,,IN ,,,,,,0.000,49.348,41.893,"ps1=2, ps3=0, ps5=6, others = -1",DAQ troubleshooting,,,,,,,,,,,,,,,,,,,,,,,
4353,2/25/2023,17:18,17:18,pol He3 cell,,2100,750,-350,-26,,,IN ,,,,,,0.000,49.348,41.893,"ps1=2, ps3=0, ps5=6, others = -1",DAQ troubleshooting,,,,,,,,,,,,,,,,,,,,,,,
4354,2/25/2023,17:31,18:34,pol He3 cell,45,2100,750,-350,-26,,45.8,IN ,yes,yes,0.540,250,0.121,0.125,49.473,42.014,"ps1=2, ps3=0, ps5=6, others = -1",production,no beam last 8min,,,,,,,,,,,,,,,,,,,,,,
4355,2/25/2023,18:39,19:51,pol He3 cell,45,2100,750,-350,-26,,45.8,IN ,yes,yes,0.869,250,0.194,0.201,49.674,42.208,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4356,2/25/2023,19:55,21:23,pol He3 cell,45,2100,750,-350,-26,,45.8,IN ,yes,yes,0.904,250,0.202,0.209,49.883,42.410,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4357,2/25/2023,21:25,22:51,pol He3 cell,45,2100,750,-350,-26,,45.8,IN ,yes,yes,1.123,250,0.246,0.255,50.138,42.656,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4358,2/25/2023,22:53,,pol He3 cell,,2100,750,-350,-26,,45.8,IN ,no,no,,,,0.000,50.138,42.656,"ps1=2, ps3=0, ps5=6, others = -1",junk,"junk, DAQ issues",,,,,,,,,,,,,,,,,,,,,,
4359,2/25/2023,23:02,23:59,pol He3 cell,45,2100,750,-350,-26,,45.8,IN ,yes,yes,0.609,250,0.137,0.142,50.280,42.793,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4360,2/26/2023,0:06,1:11,pol He3 cell,45,2100,750,-350,-26,,45.1,IN ,yes,yes,0.676,250,0.152,0.152,50.432,42.944,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4361,2/26/2023,1:13,2:21,pol He3 cell,45,2100,750,-350,-26,,45.1,IN ,yes,yes,0.802,250,0.178,0.178,50.611,43.122,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4362,2/26/2023,2:23,3:54,pol He3 cell,45,2100,750,-350,-26,,45.1,IN ,yes,yes,0.901,250,0.204,0.205,50.815,43.325,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4363,2/26/2023,3:58,5:02,pol He3 cell,45,2100,750,-350,-26,,46.8,IN ,yes,yes,0.672,250,0.151,0.164,50.979,43.477,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4364,2/26/2023,5:04,6:07,pol He3 cell,45,2100,750,-350,-26,,46.8,IN ,yes,yes,0.698,250,0.155,0.168,51.147,43.632,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4365,2/26/2023,6:09,7:15,pol He3 cell,45,2100,750,-350,-26,,46.8,IN ,yes,yes,0.495,250,0.112,0.121,51.268,43.744,"ps1=2, ps3=0, ps5=6, others = -1",production,DAQ crashed (sbsvme29); Get charge script says 'run number not found',,,,,,,,,,,,,,,,,,,,,,
4366,2/26/2023,,,,,,,,,,,,,,,,,,,,,,DAQ issues,,,,,,,,,,,,,,,,,,,,,,
4367,2/26/2023,7:22,7:48,pol He3 cell,45,2100,750,-350,-26,,46.8,IN ,yes,yes,0.251,250,0.058,0.062,51.331,43.802,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4368,2/26/2023,7:52,8:51,pol He3 cell,30,2100,750,-350,-26,,47.5,IN ,yes,yes,0.450,125,0.116,0.129,51.460,43.918,"ps1=2, ps3=0, ps5=6, others = -1",production,Started at 45uA but lowered to 30uA mid-run,,,,,,,,,,,,,,,,,,,,,,
4369,2/26/2023,8:52,9:16,pol He3 cell,30,2100,750,-350,-26,,47.5,IN ,yes,no,0.162,125,0.044,0.049,51.509,43.962,"ps1=2, ps3=0, ps5=6, others = -1",maybe junk?,Scalar helicity plot showed all zero (parity DAQ issue?). Bad run,,,,,,,,,,,,,,,,,,,,,,
4370,2/26/2023,9:18,10:22,pol He3 cell,30,2100,750,-350,-26,,47.5,IN ,yes,yes,0.398,125,0.110,0.123,51.632,44.073,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
4371,2/26/2023,10:28,11:38,pol He3 cell,45,2100,750,-350,-26,,47.5,IN ,yes,yes,0.750,250,0.168,0.187,51.819,44.240,"ps1=2, ps3=0, ps5=6, others = -1",production,,,,,,,,,,,,,,,,,,,,,,,
